organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,long read RNA-seq,tissue,"Ali Mortazavi, UCI",heart left ventricle,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K27me3,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,ces-1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K4me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K36me3,4
Homo sapiens,Histone ChIP-seq,primary cell,"Joseph Costello, UCSF",peripheral blood mononuclear cell,H3K27me3,4
Homo sapiens,MeDIP-seq,primary cell,"Joseph Costello, UCSF","CD8-positive, alpha-beta T cell",Methylcytidine,4
Homo sapiens,WGBS,primary cell,"Joseph Costello, UCSF",neurosphere,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"Joseph Costello, UCSF",chorionic villus,none,4
Homo sapiens,Histone ChIP-seq,primary cell,"Joseph Costello, UCSF",peripheral blood mononuclear cell,H3K36me3,4
Homo sapiens,MeDIP-seq,primary cell,"Joseph Costello, UCSF",mammary stem cell,Methylcytidine,4
Homo sapiens,WGBS,tissue,"Joseph Costello, UCSF",cerebellum,none,4
Homo sapiens,MeDIP-seq,primary cell,"Joseph Costello, UCSF",neurosphere,Methylcytidine,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K9me3,4
Homo sapiens,Histone ChIP-seq,primary cell,"Joseph Costello, UCSF",peripheral blood mononuclear cell,H3K4me3,4
Homo sapiens,microRNA-seq,tissue,"Joseph Costello, UCSF",chorionic villus,none,4
Homo sapiens,WGBS,tissue,"Joseph Costello, UCSF",trophoblast,none,4
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",stomach,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",breast epithelium,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left colon,none,4
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",forebrain,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K9ac,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",kidney,H3K9ac,4
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",hindbrain,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K4me3,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K27ac,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",esophagus squamous epithelium,none,4
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",intestine,none,4
Homo sapiens,WGBS,primary cell,"Joseph Costello, UCSF",sperm,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K36me3,4
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",midbrain,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K4me3,4
Homo sapiens,polyA plus RNA-seq,tissue,"Joseph Costello, UCSF",placental basal plate,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"Joseph Costello, UCSF",chorion,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K9ac,4
Homo sapiens,MRE-seq,primary cell,"Joseph Costello, UCSF",mammary stem cell,none,4
Homo sapiens,microRNA-seq,tissue,"Joseph Costello, UCSF",chorion,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,br,4
Homo sapiens,MRE-seq,primary cell,"Joseph Costello, UCSF",myoepithelial cell of mammary gland,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",adrenal gland,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left renal pelvis,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",body of pancreas,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",transverse colon,POLR2A,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,psq,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",esophagus squamous epithelium,none,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",transverse colon,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",lower leg skin,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,H3K9me3,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",gastroesophageal sphincter,POLR2A,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",breast epithelium,EP300,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K27ac,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",upper lobe of left lung,CTCF,4
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",gastroesophageal sphincter,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",uterus,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,h,4
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",lung,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Su(H),4
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",stomach,none,4
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",Peyer's patch,none,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",sciatic nerve,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"Joseph Costello, UCSF",trophoblast,none,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",sigmoid colon,EP300,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",adrenal gland,CTCF,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",esophagus muscularis mucosa,EP300,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",esophagus squamous epithelium,none,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",suprapubic skin,EP300,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",Peyer's patch,CTCF,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",esophagus squamous epithelium,POLR2A,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K27ac,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K4me1,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",upper lobe of left lung,EP300,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K27me3,4
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",kidney,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,H3K27ac,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",right renal pelvis,none,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",trophoblast cell,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left renal cortex interstitium,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",upper lobe of left lung,POLR2A,4
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",spleen,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,fkh-10,4
Homo sapiens,microRNA-seq,tissue,"Ali Mortazavi, UCI",right lobe of liver,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",gastroesophageal sphincter,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",esophagus squamous epithelium,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",stomach,POLR2A,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,H3K4me1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",pancreas,H3K27ac,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated naive CD8-positive, alpha-beta T cell",none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",sigmoid colon,none,4
Homo sapiens,in situ Hi-C,tissue,"Bing Ren, UCSD",transverse colon,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,ZK546.5,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K4me3,4
Homo sapiens,in situ Hi-C,tissue,"Bing Ren, UCSD",gastrocnemius medialis,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",omental fat pad,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",lower leg skin,none,4
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,CTCF,4
Homo sapiens,Control ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",esophagus squamous epithelium,CTCF,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",transverse colon,CTCF,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",sigmoid colon,none,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",body of pancreas,none,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",gastrocnemius medialis,none,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",transverse colon,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",lower leg skin,CTCF,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",suprapubic skin,none,4
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",intestine,none,4
Homo sapiens,Control ChIP-seq,organoid,"Bradley Bernstein, Broad",brain,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",upper lobe of left lung,none,4
Mus musculus,ATAC-seq,tissue,"Bing Ren, UCSD",stomach,none,4
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",stomach,none,4
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",right cardiac atrium,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",spleen,POLR2A,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",sigmoid colon,POLR2AphosphoS5,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K4me1,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",lower leg skin,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",suprapubic skin,none,4
Homo sapiens,snATAC-seq,cell line,"Michael Snyder, Stanford",SK-N-SH,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",Peyer's patch,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Joseph Costello, UCSF",chorionic villus,H3K9me3,4
Homo sapiens,ATAC-seq,tissue,"Michael Snyder, Stanford",right cardiac atrium,none,4
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",vagina,none,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K4me1,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K27me3,3
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",pancreas,none,3
Homo sapiens,long read RNA-seq,cell line,"Ali Mortazavi, UCI",HepG2,none,3
Homo sapiens,snRNA-seq,tissue,"Michael Snyder, Stanford",right cardiac atrium,none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K36me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",IgD-negative memory B cell,H3K9me3,3
Homo sapiens,snRNA-seq,tissue,"Michael Snyder, Stanford",left cardiac atrium,none,3
Homo sapiens,ChIA-PET,primary cell,Charles Lee,activated T-cell,POLR2A,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",T-cell,H3K4me3,3
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","central memory CD8-positive, alpha-beta T cell",none,3
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",right cardiac atrium,none,3
Homo sapiens,PRO-seq,cell line,"John Lis, Cornell",A549,none,3
Homo sapiens,WGS,cell line,"Alexander Urban, Stanford",HepG2,none,3
Homo sapiens,long read RNA-seq,tissue,"Ali Mortazavi, UCI",heart right ventricle,none,3
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",tibial nerve,none,3
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",Peyer's patch,none,3
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",thyroid gland,none,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",colonic mucosa,H3K4me3,3
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",left colon,none,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",colonic mucosa,H3K27me3,3
Homo sapiens,intact Hi-C,cell line,"Erez Aiden, Baylor",HepG2,none,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",colonic mucosa,H3K27ac,3
Homo sapiens,snATAC-seq,cell line,"Michael Snyder, Stanford",HepG2,none,3
Homo sapiens,total RNA-seq,in vitro differentiated cells,"Barbara Wold, Caltech",endodermal cell,none,3
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",H1,none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","stimulated activated naive CD8-positive, alpha-beta T cell",H3K9me3,3
Homo sapiens,snATAC-seq,cell line,"Michael Snyder, Stanford",GM12878,none,3
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ATF4,3
Homo sapiens,microRNA-seq,tissue,"Ali Mortazavi, UCI",right cardiac atrium,none,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",pancreas,H3K4me1,3
Homo sapiens,snATAC-seq,cell line,"Michael Snyder, Stanford",K562,none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K4me3,3
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,CTCF,3
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",body of pancreas,CTCF,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,sens-2,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,ERR,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,Blimp-1,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,fd59A,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,onecut,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,trh,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,Ets65A,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,CG33557,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,H3K27me3,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastroesophageal sphincter,H3K4me1,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",Peyer's patch,H3K36me3,3
Mus musculus,scRNA-seq,in vitro differentiated cells,"Manuel Garber, UMass",dendritic cell,none,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,pb,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,kay,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K27me3,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K4me3,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,H3K9me3,3
Homo sapiens,Control Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,none,3
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,ZBTB5,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K9me3,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K4me1,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,Sox14,3
Homo sapiens,long read RNA-seq,tissue,"Ali Mortazavi, UCI",ovary,none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",T-cell,H3K9me3,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K27ac,3
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,CTCF,3
Homo sapiens,in situ Hi-C,cell line,"Erez Aiden, Baylor",hTERT RPE-1,none,3
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",esophagus squamous epithelium,none,3
Homo sapiens,Mint-ChIP-seq,cell line,"Bradley Bernstein, Broad",H9,H3K36me3,3
Homo sapiens,snATAC-seq,primary cell,"Michael Snyder, Stanford","activated CD4-positive, alpha-beta T cell",none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated T-cell,H3K27me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","stimulated activated naive CD8-positive, alpha-beta T cell",H3K36me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",T-cell,H3K27me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","stimulated activated naive CD8-positive, alpha-beta T cell",H3K4me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K27ac,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated T-cell,H3K27ac,3
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","stimulated activated naive CD8-positive, alpha-beta T cell",none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","stimulated activated naive CD8-positive, alpha-beta T cell",H3K27me3,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus squamous epithelium,H3K9me3,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,ss,3
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",none,3
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 9 cell,none,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD4-positive, alpha-beta T cell",H3K4me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",T-cell,H3K36me3,3
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated CD4-positive, alpha-beta T cell",H3K9me3,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,sens,3
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,CTCF,3
Homo sapiens,snRNA-seq,tissue,"Michael Snyder, Stanford",heart right ventricle,none,3
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,daf-12,3
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",T-cell,none,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,TfAP-2,3
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,NCOR1,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",skeletal muscle tissue,H3K4me3,3
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,Sox102F,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",kidney,H3K9me3,3
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",kidney tubule cell,none,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",layer of hippocampus,H3K27ac,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",skeletal muscle tissue,H3K27me3,3
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K9me3,3
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",liver,H3K36me3,3
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",HepG2,ZBTB33,3
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,nfya-1,3
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,E2F1,3
Homo sapiens,Repli-chip,primary cell,"David Gilbert, FSU",myoblast,none,3
Homo sapiens,DNase-seq,in vitro differentiated cells,"John Stamatoyannopoulos, UW",cardiac muscle cell,none,3
Homo sapiens,CAGE,cell line,"Piero Carninci, RIKEN",A549,none,3
Homo sapiens,small RNA-seq,in vitro differentiated cells,"Thomas Gingeras, CSHL",neural cell,none,3
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Valerie Reinke, Yale",whole organism,tbx-2,3
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,ZNF830,3
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",breast epithelium,none,3
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",Peyer's patch,none,3
Homo sapiens,DNAme array,primary cell,"Richard Myers, HAIB",mammary epithelial cell,none,3
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",thyroid gland,CTCF,3
