organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K27ac,11
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K9me3,11
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,CTCF,11
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K36me3,11
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K4me3,11
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K36me3,11
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K4me1,11
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",spleen,none,11
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K9me3,11
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of arm,none,11
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of leg,none,11
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",heart,none,11
Homo sapiens,Control ChIP-seq,cell line,"Xiang-Dong Fu, UCSD",K562,none,11
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","CD4-positive, CD25-positive, alpha-beta regulatory T cell",none,11
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",large intestine,none,11
Mus musculus,long read RNA-seq,tissue,"Ali Mortazavi, UCI",left cerebral cortex,none,11
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW","common myeloid progenitor, CD34-positive",none,11
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",right lung,none,11
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",renal cortex interstitium,none,11
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,elt-3,11
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",heart left ventricle,none,10
Homo sapiens,intact Hi-C,tissue,"Erez Aiden, Baylor",heart right ventricle,none,10
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K27me3,10
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K27me3,10
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",frontal cortex,none,10
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",naive B cell,none,10
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","CD4-positive, alpha-beta memory T cell",none,10
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",pancreas,none,10
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K4me1,10
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K4me3,10
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",heart,none,10
Homo sapiens,small RNA-seq,cell line,"Thomas Gingeras, CSHL",SK-N-SH,none,10
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",heart,H3K27ac,10
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",right kidney,none,10
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of back,none,10
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",small intestine,none,10
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",left lung,none,10
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",stomach,none,10
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",heart right ventricle,none,10
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",thymus,none,10
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",Metastatic Breast Carcinoma in the Brain,none,10
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",heart,none,10
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",lung,none,10
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",thymus,none,10
